"file","line","function_name","old_name","category","new_name","unit","notes"
"ssff_python_pm_pformantb.R",237,"trk_formantp","bw","bandwidth","Bi[Hz]","Hz","Template: expands to B1[Hz], B2[Hz], ... (numFormants parameter)"
"ssff_python_pm_pformantpathb.R",235,"trk_formantpathp","bw","bandwidth","Bi[Hz]","Hz","Template: expands to B1[Hz], B2[Hz], ... (numFormants parameter)"
"ssff_c_assp_ksvfo.R",198,"fo","fo[Hz]","f0","fo[Hz]","Hz","Already correct (Titze 2015)"
"ssff_c_assp_ksvfo.R",192,"fo_ksv","fo[Hz]","f0","fo[Hz]","Hz","Already correct (Titze 2015)"
"ssff_c_assp_ksvfo.R",186,"foana","fo[Hz]","f0","fo[Hz]","Hz","Already correct (Titze 2015)"
"ssff_python_sptk_rapt.R",236,"nonopt_rapt","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_sptk_reaper.R",268,"nonopt_reaper","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_sptk_swipe.R",277,"nonopt_swipe","f0","f0","fo[Hz]","Hz","add unit"
"covarep_srh.R",219,"trk_covarep_srh","F0[Hz]","f0","fo[Hz]","Hz","lowercase"
"ssff_python_crepe.R",245,"trk_crepe","f0","f0","fo[Hz]","Hz","add unit"
"ssff_cpp_sptk_dio.R",135,"trk_dio","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_world_dio.R",178,"trk_dio","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_world_harvest.R",167,"trk_harvest","f0","f0","fo[Hz]","Hz","add unit"
"ssff_cpp_sptk_harvest.R",170,"trk_harvest","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_kaldi_pitch.R",249,"trk_kaldi_pitch","f0","f0","fo[Hz]","Hz","add unit"
"ssff_c_assp_ksvfo.R",180,"trk_ksvfo","fo[Hz]","f0","fo[Hz]","Hz","Already correct (Titze 2015)"
"ssff_python_npy_import.R",126,"trk_npy_import","f0","f0","fo[Hz]","Hz","add unit"
"ssff_python_pyin.R",260,"trk_pyin","f0","f0","fo[Hz]","Hz","add unit"
"ssff_cpp_sptk_rapt.R",170,"trk_rapt","f0","f0","fo[Hz]","Hz","add unit"
"ssff_cpp_sptk_reaper.R",146,"trk_reaper","f0","f0","fo[Hz]","Hz","add unit"
